Checkpoint,NoiseBudget,Drift,ElapsedSeconds,Throughput,Value
100000,344,17,61.0452,1638.13,42
200000,343,18,119.008,1680.56,42
300000,343,18,177.824,1687.07,42
400000,342,19,238.378,1678.01,42
500000,342,19,299.282,1670.67,42
600000,342,19,359.532,1668.84,42
700000,342,19,420.624,1664.19,42
800000,341,20,481.049,1663.03,42
900000,341,20,545.323,1650.4,42
1000000,341,20,609.645,1640.3,42
1100000,341,20,672.096,1636.67,42
1200000,341,20,736.749,1628.78,42
1300000,341,20,801.315,1622.33,42
1400000,341,20,863.053,1622.15,42
1500000,340,21,927.525,1617.21,42
1600000,340,21,990.647,1615.11,42
1700000,340,21,1053.67,1613.41,42
1800000,340,21,1118.01,1610,42
1900000,340,21,1182.23,1607.13,42
2000000,340,21,1245.98,1605.16,42
2100000,340,21,1309,1604.28,42
2200000,340,21,1373.34,1601.94,42
2300000,340,21,1438.2,1599.22,42
2400000,340,21,1502.3,1597.55,42
2500000,340,21,1564.63,1597.82,42
2600000,340,21,1628.87,1596.2,42
2700000,340,21,1693.41,1594.41,42
2800000,340,21,1757.46,1593.21,42
2900000,339,22,1822.01,1591.65,42
3000000,339,22,1885.45,1591.13,42
3100000,339,22,1950.56,1589.29,42
3200000,339,22,2012.66,1589.94,42
3300000,339,22,2072.92,1591.95,42
3400000,339,22,2134.57,1592.83,42
3500000,339,22,2196.95,1593.12,42
3600000,339,22,2260.02,1592.91,42
3700000,339,22,2321.55,1593.77,42
3800000,339,22,2384.37,1593.72,42
3900000,339,22,2446.8,1593.92,42
4000000,339,22,2508.15,1594.8,42
4100000,339,22,2570.72,1594.89,42
4200000,339,22,2632.17,1595.64,42
4300000,339,22,2695.19,1595.43,42
4400000,339,22,2756.49,1596.24,42
4500000,339,22,2819.35,1596.12,42
4600000,339,22,2881.23,1596.54,42
4700000,339,22,2944.29,1596.31,42
4800000,339,22,3007,1596.28,42
4900000,339,22,3069.51,1596.35,42
5000000,339,22,3130.84,1597.01,42
5100000,339,22,3191.2,1598.14,42
5200000,339,22,3251.92,1599.06,42
5300000,339,22,3313.9,1599.33,42
5400000,339,22,3378.03,1598.56,42
5500000,339,22,3438.85,1599.37,42
5600000,339,22,3499.33,1600.31,42
5700000,338,23,3560.46,1600.92,42
5800000,338,23,3622.24,1601.22,42
5900000,338,23,3684.41,1601.34,42
6000000,338,23,3744.92,1602.17,42
6100000,338,23,3805.41,1602.98,42
6200000,338,23,3867.31,1603.18,42
6300000,338,23,3929.24,1603.36,42
6400000,338,23,3992.58,1602.97,42
6500000,338,23,4055.89,1602.61,42
6600000,338,23,4119.85,1602,42
6700000,338,23,4185.81,1600.65,42
6800000,338,23,4248.81,1600.45,42
6900000,338,23,4311.25,1600.46,42
7000000,338,23,4374.66,1600.12,42
7100000,338,23,4436.42,1600.39,42
7200000,338,23,4498.83,1600.42,42
7300000,338,23,4562.01,1600.17,42
7400000,338,23,4624.94,1600.02,42
7500000,338,23,4688.22,1599.76,42
7600000,338,23,4752.05,1599.31,42
7700000,338,23,4813.81,1599.57,42
7800000,338,23,4875.57,1599.81,42
7900000,338,23,4938,1599.84,42
8000000,338,23,5000.39,1599.88,42
8100000,338,23,5062.06,1600.14,42
8200000,338,23,5124.26,1600.23,42
8300000,338,23,5185.68,1600.56,42
8400000,338,23,5248.73,1600.39,42
8500000,338,23,5311.54,1600.29,42
8600000,338,23,5374.01,1600.3,42
8700000,338,23,5437.37,1600.04,42
8800000,338,23,5499.36,1600.19,42
8900000,338,23,5561.08,1600.41,42
9000000,338,23,5622.02,1600.85,42
9100000,338,23,5683.96,1601,42
9200000,338,23,5747.1,1600.81,42
9300000,338,23,5810.23,1600.62,42
9400000,338,23,5871.98,1600.82,42
9500000,338,23,5934.74,1600.74,42
9600000,338,23,5992.15,1602.09,42
9700000,338,23,6036.8,1606.81,42
9800000,338,23,6085.36,1610.42,42
9900000,338,23,6148.03,1610.27,42
10000000,338,23,6210.25,1610.24,42
