Scaling Factor Lookup Table (a x b)
====================================

            1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20
  1   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
  2   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
  3   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
  4   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
  5   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
  6   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
  7   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
  8   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
  9   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.6000  1.5455  1.5000  1.4615  1.4286  1.4000  1.3750  1.3529  1.3333  1.3158  1.6000
 10   1.6000  1.6000  1.6000  1.6000  1.6000  1.6000  1.6000  1.6000  1.6000  2.5600  2.4727  2.4000  2.3385  2.2857  2.2400  2.2000  2.1647  2.1333  2.1053  2.5600
 11   1.5455  1.5455  1.5455  1.5455  1.5455  1.5455  1.5455  1.5455  1.5455  2.4727  2.3884  2.3182  2.2587  2.2078  2.1636  2.1250  2.0909  2.0606  2.0335  2.4727
 12   1.5000  1.5000  1.5000  1.5000  1.5000  1.5000  1.5000  1.5000  1.5000  2.4000  2.3182  2.2500  2.1923  2.1429  2.1000  2.0625  2.0294  2.0000  1.9737  2.4000
 13   1.4615  1.4615  1.4615  1.4615  1.4615  1.4615  1.4615  1.4615  1.4615  2.3385  2.2587  2.1923  2.1361  2.0879  2.0462  2.0096  1.9774  1.9487  1.9231  2.3385
 14   1.4286  1.4286  1.4286  1.4286  1.4286  1.4286  1.4286  1.4286  1.4286  2.2857  2.2078  2.1429  2.0879  2.0408  2.0000  1.9643  1.9328  1.9048  1.8797  2.2857
 15   1.4000  1.4000  1.4000  1.4000  1.4000  1.4000  1.4000  1.4000  1.4000  2.2400  2.1636  2.1000  2.0462  2.0000  1.9600  1.9250  1.8941  1.8667  1.8421  2.2400
 16   1.3750  1.3750  1.3750  1.3750  1.3750  1.3750  1.3750  1.3750  1.3750  2.2000  2.1250  2.0625  2.0096  1.9643  1.9250  1.8906  1.8603  1.8333  1.8092  2.2000
 17   1.3529  1.3529  1.3529  1.3529  1.3529  1.3529  1.3529  1.3529  1.3529  2.1647  2.0909  2.0294  1.9774  1.9328  1.8941  1.8603  1.8304  1.8039  1.7802  2.1647
 18   1.3333  1.3333  1.3333  1.3333  1.3333  1.3333  1.3333  1.3333  1.3333  2.1333  2.0606  2.0000  1.9487  1.9048  1.8667  1.8333  1.8039  1.7778  1.7544  2.1333
 19   1.3158  1.3158  1.3158  1.3158  1.3158  1.3158  1.3158  1.3158  1.3158  2.1053  2.0335  1.9737  1.9231  1.8797  1.8421  1.8092  1.7802  1.7544  1.7313  2.1053
 20   1.6000  1.6000  1.6000  1.6000  1.6000  1.6000  1.6000  1.6000  1.6000  2.5600  2.4727  2.4000  2.3385  2.2857  2.2400  2.2000  2.1647  2.1333  2.1053  2.5600
