depth,noise,phi_noise,modulus_size,ratio,bootstrap_needed
0,1,0.618034,1.15292e+18,8.67362e-19,0
1,2,1.23607,7.12545e+17,2.80684e-18,0
2,4,2.47214,4.40377e+17,9.08313e-18,0
3,8,4.94427,2.72168e+17,2.93936e-17,0
4,16,9.88854,1.68209e+17,9.51198e-17,0
5,32,19.7771,1.03959e+17,3.07814e-16,0
6,64,39.5542,6.42501e+16,9.96107e-16,0
7,128,79.1084,3.97088e+16,3.22347e-15,0
8,256,158.217,2.45414e+16,1.04314e-14,0
9,512,316.433,1.51674e+16,3.37566e-14,0
10,1024,632.867,9.37397e+15,1.09239e-13,0
11,2048,1265.73,5.79343e+15,3.53504e-13,0
12,4096,2531.47,3.58054e+15,1.14396e-12,0
13,8192,5062.93,2.21289e+15,3.70194e-12,0
14,16384,10125.9,1.36764e+15,1.19797e-11,0
15,32768,20251.7,8.4525e+14,3.87672e-11,0
16,65536,40503.5,5.22393e+14,1.25453e-10,0
17,131072,81007,3.22857e+14,4.05976e-10,0
18,262144,162014,1.99536e+14,1.31377e-09,0
19,524288,324028,1.2332e+14,4.25143e-09,0
20,1.04858e+06,648056,7.62161e+13,1.37579e-08,0
21,2.09715e+06,1.29611e+06,4.71042e+13,4.45216e-08,0
22,4.1943e+06,2.59222e+06,2.9112e+13,1.44075e-07,0
23,8.38861e+06,5.18444e+06,1.79922e+13,4.66236e-07,0
24,1.67772e+07,1.03689e+07,1.11198e+13,1.50877e-06,0
25,3.35544e+07,2.07378e+07,6.8724e+12,4.88249e-06,0
26,6.71089e+07,4.14756e+07,4.24738e+12,1.58001e-05,0
27,1.34218e+08,8.29511e+07,2.62503e+12,5.11301e-05,0
28,2.68435e+08,1.65902e+08,1.62235e+12,0.00016546,0
29,5.36871e+08,3.31804e+08,1.00267e+12,0.000535441,0
30,1.07374e+09,6.63609e+08,6.19684e+11,0.00173272,0
31,2.14748e+09,1.32722e+09,3.82986e+11,0.00560721,0
32,4.29497e+09,2.65444e+09,2.36698e+11,0.0181453,0
33,8.58993e+09,5.30887e+09,1.46288e+11,0.0587195,0
34,1.71799e+10,1.06177e+10,9.04107e+10,0.19002,0
35,3.43597e+10,2.12355e+10,5.58769e+10,0.614918,1
36,6.87195e+10,4.2471e+10,3.45338e+10,1.98992,1
37,1.37439e+11,8.49419e+10,2.13431e+10,6.43951,1
38,2.74878e+11,1.69884e+11,1.31907e+10,20.8387,1
39,5.49756e+11,3.39768e+11,8.15233e+09,67.4354,1
40,1.09951e+12,6.79536e+11,5.03842e+09,218.226,1
41,2.19902e+12,1.35907e+12,3.11391e+09,706.193,1
42,4.39805e+12,2.71814e+12,1.9245e+09,2285.29,1
43,8.79609e+12,5.43628e+12,1.18941e+09,7395.35,1
44,1.75922e+13,1.08726e+13,7.35095e+08,23931.8,1
45,3.51844e+13,2.17451e+13,4.54314e+08,77445.1,1
46,7.03687e+13,4.34903e+13,2.80781e+08,250618,1
47,1.40737e+14,8.69806e+13,1.73532e+08,811015,1
48,2.81475e+14,1.73961e+14,1.07249e+08,2.6245e+06,1
49,5.6295e+14,3.47922e+14,6.62835e+07,8.49306e+06,1
50,1.1259e+15,6.95844e+14,4.09654e+07,2.74841e+07,1
51,2.2518e+15,1.39169e+15,2.5318e+07,8.89405e+07,1
52,4.5036e+15,2.78338e+15,1.56474e+07,2.87818e+08,1
53,9.0072e+15,5.56676e+15,9.67063e+06,9.31397e+08,1
54,1.80144e+16,1.11335e+16,5.97678e+06,3.01406e+09,1
55,3.60288e+16,2.2267e+16,3.69385e+06,9.75372e+09,1
56,7.20576e+16,4.4534e+16,2.28293e+06,3.15637e+10,1
57,1.44115e+17,8.90681e+16,1.41093e+06,1.02142e+11,1
58,2.8823e+17,1.78136e+17,872000,3.30539e+11,1
59,5.76461e+17,3.56272e+17,538926,1.06965e+12,1
60,1.15292e+18,7.12545e+17,333074,3.46145e+12,1
61,2.30584e+18,1.42509e+18,205851,1.12015e+13,1
62,4.61169e+18,2.85018e+18,127223,3.62488e+13,1
63,9.22337e+18,5.70036e+18,78628.2,1.17304e+14,1
64,1.84467e+19,1.14007e+19,48594.9,3.79602e+14,1
65,3.68935e+19,2.28014e+19,30033.3,1.22842e+15,1
66,7.3787e+19,4.56029e+19,18561.6,3.97525e+15,1
67,1.47574e+20,9.12057e+19,11471.7,1.28642e+16,1
68,2.95148e+20,1.82411e+20,7089.9,4.16293e+16,1
69,5.90296e+20,3.64823e+20,4381.8,1.34715e+17,1
70,1.18059e+21,7.29646e+20,2708.1,4.35948e+17,1
71,2.36118e+21,1.45929e+21,1673.7,1.41076e+18,1
72,4.72237e+21,2.91858e+21,1034.4,4.56531e+18,1
73,9.44473e+21,5.83717e+21,639.296,1.47736e+19,1
74,1.88895e+22,1.16743e+22,395.107,4.78085e+19,1
75,3.77789e+22,2.33487e+22,244.189,1.54712e+20,1
76,7.55579e+22,4.66973e+22,150.917,5.00657e+20,1
77,1.51116e+23,9.33947e+22,93.272,1.62016e+21,1
78,3.02231e+23,1.86789e+23,57.6453,5.24295e+21,1
79,6.04463e+23,3.73579e+23,35.6267,1.69665e+22,1
80,1.20893e+24,7.47157e+23,22.0185,5.49049e+22,1
81,2.41785e+24,1.49431e+24,13.6082,1.77676e+23,1
82,4.8357e+24,2.98863e+24,8.41033,5.74972e+23,1
83,9.67141e+24,5.97726e+24,5.19787,1.86065e+24,1
84,1.93428e+25,1.19545e+25,3.21246,6.02118e+24,1
85,3.86856e+25,2.3909e+25,1.98541,1.9485e+25,1
86,7.73713e+25,4.78181e+25,1.22705,6.30546e+25,1
87,1.54743e+26,9.56361e+25,0.758359,2.04049e+26,1
88,3.09485e+26,1.91272e+26,0.468692,6.60317e+26,1
89,6.1897e+26,3.82545e+26,0.289667,2.13683e+27,1
90,1.23794e+27,7.65089e+26,0.179024,6.91493e+27,1
