iteration,value,modulus,noise
0,1.53392e+08,1.07374e+09,5.10217e+08
1,2.48193e+08,1.07374e+09,4.15416e+08
2,4.01585e+08,1.07374e+09,2.62024e+08
3,6.49778e+08,1.07374e+09,1.38313e+07
4,1.05136e+09,1.07374e+09,3.87753e+08
5,6.27398e+08,1.07374e+09,3.62109e+07
6,1.01515e+09,1.07374e+09,3.51542e+08
7,5.68808e+08,1.07374e+09,9.48013e+07
8,9.2035e+08,1.07374e+09,2.56741e+08
9,4.15416e+08,1.07374e+09,2.48193e+08
10,6.72157e+08,1.07374e+09,8.54823e+06
11,1.38313e+07,1.07374e+09,6.49778e+08
12,2.23795e+07,1.07374e+09,6.41229e+08
13,3.62109e+07,1.07374e+09,6.27398e+08
14,5.85904e+07,1.07374e+09,6.05019e+08
15,9.48013e+07,1.07374e+09,5.68808e+08
16,1.53392e+08,1.07374e+09,5.10217e+08
17,2.48193e+08,1.07374e+09,4.15416e+08
18,4.01585e+08,1.07374e+09,2.62024e+08
19,6.49778e+08,1.07374e+09,1.38313e+07
20,1.05136e+09,1.07374e+09,3.87753e+08
21,6.27398e+08,1.07374e+09,3.62109e+07
22,1.01515e+09,1.07374e+09,3.51542e+08
23,5.68808e+08,1.07374e+09,9.48013e+07
24,9.2035e+08,1.07374e+09,2.56741e+08
25,4.15416e+08,1.07374e+09,2.48193e+08
26,6.72157e+08,1.07374e+09,8.54823e+06
27,1.38313e+07,1.07374e+09,6.49778e+08
28,2.23795e+07,1.07374e+09,6.41229e+08
29,3.62109e+07,1.07374e+09,6.27398e+08
30,5.85904e+07,1.07374e+09,6.05019e+08
31,9.48013e+07,1.07374e+09,5.68808e+08
32,1.53392e+08,1.07374e+09,5.10217e+08
33,2.48193e+08,1.07374e+09,4.15416e+08
34,4.01585e+08,1.07374e+09,2.62024e+08
35,6.49778e+08,1.07374e+09,1.38313e+07
36,1.05136e+09,1.07374e+09,3.87753e+08
37,6.27398e+08,1.07374e+09,3.62109e+07
38,1.01515e+09,1.07374e+09,3.51542e+08
39,5.68808e+08,1.07374e+09,9.48013e+07
40,9.2035e+08,1.07374e+09,2.56741e+08
41,4.15416e+08,1.07374e+09,2.48193e+08
42,6.72157e+08,1.07374e+09,8.54825e+06
43,1.38314e+07,1.07374e+09,6.49778e+08
44,2.23796e+07,1.07374e+09,6.41229e+08
45,3.6211e+07,1.07374e+09,6.27398e+08
46,5.85906e+07,1.07374e+09,6.05018e+08
47,9.48016e+07,1.07374e+09,5.68807e+08
48,1.53392e+08,1.07374e+09,5.10217e+08
49,2.48194e+08,1.07374e+09,4.15415e+08
50,4.01586e+08,1.07374e+09,2.62023e+08
51,6.4978e+08,1.07374e+09,1.38294e+07
52,1.05137e+09,1.07374e+09,3.87756e+08
53,6.27403e+08,1.07374e+09,3.62058e+07
54,1.01516e+09,1.07374e+09,3.51551e+08
55,5.68821e+08,1.07374e+09,9.47879e+07
56,9.20372e+08,1.07374e+09,2.56763e+08
57,4.15451e+08,1.07374e+09,2.48158e+08
58,6.72214e+08,1.07374e+09,8.60488e+06
59,1.3923e+07,1.07374e+09,6.49686e+08
60,2.25279e+07,1.07374e+09,6.41081e+08
61,3.64508e+07,1.07374e+09,6.27158e+08
62,5.89787e+07,1.07374e+09,6.0463e+08
63,9.54296e+07,1.07374e+09,5.68179e+08
64,1.54408e+08,1.07374e+09,5.09201e+08
65,2.49838e+08,1.07374e+09,4.13771e+08
66,4.04246e+08,1.07374e+09,2.59363e+08
67,6.54084e+08,1.07374e+09,9.52503e+06
68,1.05833e+09,1.07374e+09,3.94721e+08
69,6.38672e+08,1.07374e+09,2.49369e+07
70,1.03339e+09,1.07374e+09,3.69784e+08
71,5.98323e+08,1.07374e+09,6.52855e+07
72,9.68108e+08,1.07374e+09,3.04499e+08
73,4.92689e+08,1.07374e+09,1.7092e+08
74,7.97188e+08,1.07374e+09,1.33579e+08
75,2.16135e+08,1.07374e+09,4.47474e+08
76,3.49714e+08,1.07374e+09,3.13895e+08
77,5.65849e+08,1.07374e+09,9.77598e+07
78,9.15563e+08,1.07374e+09,2.51954e+08
79,4.0767e+08,1.07374e+09,2.55939e+08
80,6.59625e+08,1.07374e+09,3.98432e+06
81,1.0673e+09,1.07374e+09,4.03686e+08
82,6.53178e+08,1.07374e+09,1.04311e+07
83,1.05686e+09,1.07374e+09,3.93255e+08
84,6.363e+08,1.07374e+09,2.7309e+07
85,1.02956e+09,1.07374e+09,3.65946e+08
86,5.92113e+08,1.07374e+09,7.14958e+07
87,9.58059e+08,1.07374e+09,2.9445e+08
88,4.76431e+08,1.07374e+09,1.87178e+08
89,7.70881e+08,1.07374e+09,1.07272e+08
90,1.7357e+08,1.07374e+09,4.90039e+08
91,2.80842e+08,1.07374e+09,3.82767e+08
92,4.54411e+08,1.07374e+09,2.09198e+08
93,7.35253e+08,1.07374e+09,7.1644e+07
94,1.15922e+08,1.07374e+09,5.47687e+08
95,1.87566e+08,1.07374e+09,4.76043e+08
96,3.03489e+08,1.07374e+09,3.6012e+08
97,4.91055e+08,1.07374e+09,1.72554e+08
98,7.94544e+08,1.07374e+09,1.30935e+08
99,2.11857e+08,1.07374e+09,4.51752e+08
