iteration,value,modulus,noise
0,1,10,5.18034
1,1.61803,10,4.56231
2,2.61803,10,3.56231
3,4.23607,10,1.94427
4,6.8541,10,0.673762
5,1.09017,10,5.09017
6,1.76393,10,4.41641
7,2.8541,10,3.32624
8,4.61803,10,1.56231
9,7.47214,10,1.2918
10,2.09017,10,4.09017
11,3.38197,10,2.79837
12,5.47214,10,0.708204
13,8.8541,10,2.67376
14,4.32624,10,1.8541
15,7,10,0.81966
16,1.32624,10,4.8541
17,2.1459,10,4.03444
18,3.47214,10,2.7082
19,5.61803,10,0.562306
20,9.09017,10,2.90983
21,4.7082,10,1.47214
22,7.61803,10,1.43769
23,2.32624,10,3.8541
24,3.76393,10,2.41641
25,6.09017,10,0.0901699
26,9.8541,10,3.67376
27,5.94427,10,0.236068
28,9.61803,10,3.43769
29,5.56231,10,0.618034
30,9,10,2.81966
31,4.56231,10,1.61803
32,7.38197,10,1.20163
33,1.94427,10,4.23607
34,3.1459,10,3.03444
35,5.09017,10,1.09017
36,8.23607,10,2.05573
37,3.32624,10,2.8541
38,5.38197,10,0.798374
39,8.7082,10,2.52786
40,4.09017,10,2.09017
41,6.61803,10,0.437694
42,0.708204,10,5.47214
43,1.1459,10,5.03444
44,1.8541,10,4.32624
45,3,10,3.18034
46,4.8541,10,1.32624
47,7.8541,10,1.67376
48,2.7082,10,3.47214
49,4.38197,10,1.79837
50,7.09017,10,0.909831
51,1.47214,10,4.7082
52,2.38197,10,3.79837
53,3.85411,10,2.32623
54,6.23608,10,0.0557376
55,0.0901854,10,6.09015
56,0.145923,10,6.03442
57,0.236108,10,5.94423
58,0.382031,10,5.79831
59,0.61814,10,5.5622
60,1.00017,10,5.18017
61,1.61831,10,4.56203
62,2.61848,10,3.56186
63,4.23679,10,1.94355
64,6.85528,10,0.674937
65,1.09207,10,5.08827
66,1.76701,10,4.41333
67,2.85908,10,3.32126
68,4.62609,10,1.55425
69,7.48517,10,1.30483
70,2.11125,10,4.06909
71,3.41608,10,2.76426
72,5.52733,10,0.653005
73,8.94342,10,2.76308
74,4.47075,10,1.70959
75,7.23383,10,1.05349
76,1.70457,10,4.47576
77,2.75806,10,3.42228
78,4.46264,10,1.7177
79,7.2207,10,1.04036
80,1.68333,10,4.49701
81,2.72369,10,3.45665
82,4.40702,10,1.77332
83,7.1307,10,0.950361
84,1.53772,10,4.64262
85,2.48808,10,3.69226
86,4.0258,10,2.15454
87,6.51387,10,0.333535
88,0.53967,10,5.64067
89,0.873205,10,5.30713
90,1.41288,10,4.76746
91,2.28608,10,3.89426
92,3.69896,10,2.48138
93,5.98504,10,0.195303
94,9.68399,10,3.50365
95,5.66903,10,0.511309
96,9.17269,10,2.99235
97,4.84172,10,1.33862
98,7.83406,10,1.65372
99,2.67578,10,3.50456
