=== PINKY SWEAR v2.2 RESULTS ===
Step	Value	Overflow	Noise
1	2	no	2
2	4	no	3
3	8	no	4
4	16	no	5
5	32	no	6
6	64	no	7
7	128	no	8
8	256	no	9
9	512	no	10
10	1024	no	11
11	2048	no	12
12	4096	no	13
13	8192	no	14
14	16384	no	15
15	32768	no	16
16	65536	no	17
17	131072	no	18
18	262144	no	19
19	524288	no	20
20	1048576	no	21
21	2097152	no	22
22	4194304	no	23
23	8388608	no	24
24	16777216	no	25
25	33554432	no	26
26	67108864	no	27
27	134217728	no	28
28	268435456	no	29
29	-32769	no	30
30	-65538	no	31
31	-131076	no	32
32	202118055	YES	33
33	-145195054	YES	34
34	-141491221	YES	35
35	263528907	YES	36
36	-67070008	YES	37
37	182825031	YES	38
38	-229428298	YES	39
39	-68999097	YES	40
40	-59912956	YES	41
41	22863539	YES	42
42	-21207612	YES	43
43	-18658477	YES	44
44	-13966969	YES	45
45	252839957	YES	46
46	78363705	YES	47
47	37282173	YES	48
48	140710887	YES	49
49	65546679	YES	50
50	219232925	YES	51
51	138217042	YES	52
52	-25159789	YES	53
53	210143754	YES	54
54	30443921	YES	55
55	59534419	YES	56
56	-72564177	YES	57
57	-18027185	YES	58
58	-231912895	YES	59
59	158310997	YES	60
60	-66383360	YES	61
61	252803341	YES	62
62	-6724639	YES	63
63	124650762	YES	64
64	69587982	YES	65
65	-214298400	YES	66
66	222744500	YES	67
67	-134034831	YES	68
68	-255517698	YES	69
69	152139091	YES	70
70	236581211	YES	71
71	-152629591	YES	72
72	50424928	YES	73
73	-128505076	YES	74
74	114451958	YES	75
75	125976556	YES	76
76	-259451270	YES	77
77	252451165	YES	78
78	129030420	YES	79
79	75445957	YES	80
80	-24743789	YES	81
81	219418741	YES	82
82	-52898492	YES	83
83	-128313275	YES	84
84	-64051025	YES	85
85	70289943	YES	86
86	211303457	YES	87
87	47696660	YES	88
88	125879556	YES	89
89	-228343843	YES	90
90	133449371	YES	91
91	-244987836	YES	92
92	87738253	YES	93
93	-32731755	YES	94
94	180295575	YES	95
95	170246482	YES	96
96	-140183982	YES	97
97	193451732	YES	98
98	213977340	YES	99
99	126497451	YES	100
100	55595024	YES	101
